$ adb shell ps -A
USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           261     2          0      0 0                   0 I [kworker/R-sm5461-PD-DC]
root           262     2          0      0 0                   0 I [kworker/R-pass-through]
root           263     2          0      0 0                   0 I [kworker/R-extcon_usb]
root           264     2          0      0 0                   0 S [irq/423-mtk_tinysys_mbox]
root           265     2          0      0 0                   0 S [irq/424-mtk_tinysys_mbox]
root           268     2          0      0 0                   0 S [sec_vibrator]
root           269     2          0      0 0                   0 S [irq/18-sec-nfc_clk]
root           270     2          0      0 0                   0 S [irq/20-sec-nfc]
root           271     2          0      0 0                   0 S [jbd2/sdc30-8]
root           272     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           274     2          0      0 0                   0 I [kworker/R-kdmflush/254:0]
root           275     2          0      0 0                   0 I [kworker/R-kdmflush/254:1]
root           276     2          0      0 0                   0 I [kworker/R-kdmflush/254:2]
root           277     2          0      0 0                   0 I [kworker/R-kdmflush/254:3]
root           278     2          0      0 0                   0 I [kworker/R-kdmflush/254:4]
root           279     2          0      0 0                   0 I [kworker/R-kdmflush/254:5]
root           280     2          0      0 0                   0 I [kworker/R-kdmflush/254:6]
root           281     2          0      0 0                   0 I [kworker/R-kdmflush/254:7]
root           282     2          0      0 0                   0 I [kworker/R-kdmflush/254:8]
root           283     2          0      0 0                   0 I [kworker/R-kverityd]
root           284     2          0      0 0                   0 S [erofs_worker/0]
root           285     2          0      0 0                   0 S [erofs_worker/1]
root           286     2          0      0 0                   0 S [erofs_worker/2]
root           287     2          0      0 0                   0 S [erofs_worker/3]
root           288     2          0      0 0                   0 S [erofs_worker/4]
root           289     2          0      0 0                   0 S [erofs_worker/5]
root           290     2          0      0 0                   0 S [erofs_worker/6]
root           291     2          0      0 0                   0 S [erofs_worker/7]
root           293     2          0      0 0                   0 I [kworker/R-kdmflush/254:9]
root           294     2          0      0 0                   0 I [kworker/R-kverityd]
root           295     2          0      0 0                   0 I [kworker/R-kdmflush/254:10]
root           296     2          0      0 0                   0 I [kworker/R-kverityd]
root           297     2          0      0 0                   0 I [kworker/R-kdmflush/254:11]
root           298     2          0      0 0                   0 I [kworker/R-kverityd]
root           299     2          0      0 0                   0 I [kworker/R-kdmflush/254:12]
root           300     2          0      0 0                   0 I [kworker/R-kverityd]
root           301     2          0      0 0                   0 I [kworker/R-kdmflush/254:13]
root           302     2          0      0 0                   0 I [kworker/R-kverityd]
root           304     2          0      0 0                   0 I [kworker/R-kdmflush/254:14]
root           305     2          0      0 0                   0 I [kworker/R-kverityd]
root           306     2          0      0 0                   0 I [kworker/R-kdmflush/254:15]
root           307     2          0      0 0                   0 I [kworker/R-kverityd]
root           308     2          0      0 0                   0 I [kworker/R-kdmflush/254:16]
root           309     2          0      0 0                   0 I [kworker/R-kverityd]
root           310     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           311     2          0      0 0                   0 I [kworker/R-kdmflush/254:17]
root           312     2          0      0 0                   0 I [kworker/R-kverityd]
root           313     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           324     1    2303836   2836 0                   0 S init
root           325     1    2315296   4544 0                   0 S ueventd
root           384     2          0      0 0                   0 I [kworker/R-kdmflush/254:19]
root           396     2          0      0 0                   0 I [kworker/R-kdmflush/254:31]
root           397     2          0      0 0                   0 I [kworker/R-kdmflush/254:32]
root           398     2          0      0 0                   0 I [kworker/R-kdmflush/254:33]
root           399     2          0      0 0                   0 I [kworker/R-kdmflush/254:34]
root           401     2          0      0 0                   0 I [kworker/R-kdmflush/254:36]
root           402     2          0      0 0                   0 I [kworker/R-kdmflush/254:37]
root           403     2          0      0 0                   0 I [kworker/R-kdmflush/254:38]
root           404     2          0      0 0                   0 I [kworker/R-kdmflush/254:39]
root           405     2          0      0 0                   0 I [kworker/R-kdmflush/254:40]
root           407     2          0      0 0                   0 I [kworker/R-kdmflush/254:42]
root           408     2          0      0 0                   0 I [kworker/R-kdmflush/254:43]
root           409     2          0      0 0                   0 I [kworker/R-kdmflush/254:44]
root           410     2          0      0 0                   0 I [kworker/R-kdmflush/254:45]
root           411     2          0      0 0                   0 I [kworker/R-kdmflush/254:46]
root           413     2          0      0 0                   0 I [kworker/R-kdmflush/254:47]
root           414     2          0      0 0                   0 I [kworker/R-kdmflush/254:48]
root           415     2          0      0 0                   0 I [kworker/R-kdmflush/254:49]
root           418     2          0      0 0                   0 I [kworker/R-kdmflush/254:52]
root           419     2          0      0 0                   0 I [kworker/R-kdmflush/254:53]
root           420     2          0      0 0                   0 I [kworker/R-kdmflush/254:54]
root           421     2          0      0 0                   0 I [kworker/R-kdmflush/254:55]
root           422     2          0      0 0                   0 I [kworker/R-kdmflush/254:56]
root           423     2          0      0 0                   0 I [kworker/R-kdmflush/254:57]
root           425     2          0      0 0                   0 I [kworker/R-kdmflush/254:59]
root           427     2          0      0 0                   0 I [kworker/R-kdmflush/254:61]
root           428     2          0      0 0                   0 I [kworker/R-kdmflush/254:62]
root           430     2          0      0 0                   0 I [kworker/R-kdmflush/254:64]
root           436     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           438     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           439     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           440     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
prng_seeder    460     1    2335656   3204 0                   0 S prng_seeder
logd           468     1    2339536   9648 0                   0 S logd
lmkd           470     1    2214696   4580 0                   0 S lmkd
system         471     1    2335556   4368 0                   0 S servicemanager
system         472     1    2377660   3248 0                   0 S hwservicemanager
system         474     1    2251520   3752 0                   0 S vndservicemanager
root           475     2          0      0 0                   0 S [psimon]
root           480     2          0      0 0                   0 I [kworker/R-tls-strp]
root           482     2          0      0 0                   0 S [krfcommd]
root           504     1    2565252   6436 0                   0 S vold
root           511     2          0      0 0                   0 S [jbd2/sdc56-8]
root           512     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           516     2          0      0 0                   0 I [kworker/R-blk_sec_common]
root           517     2          0      0 0                   0 S [id0_trusty_n/0]
root           518     2          0      0 0                   0 S [id0_trusty_n/1]
root           520     2          0      0 0                   0 S [id0_trusty_n/2]
root           521     2          0      0 0                   0 S [id0_trusty_n/3]
root           522     2          0      0 0                   0 S [id0_trusty_n/4]
root           523     2          0      0 0                   0 S [jbd2/sdc19-8]
root           524     2          0      0 0                   0 S [id0_trusty_n/5]
root           525     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           526     2          0      0 0                   0 S [id0_trusty_n/6]
root           527     2          0      0 0                   0 S [id0_trusty_n/7]
root           528     2          0      0 0                   0 S [trusty_poll_task]
root           530     2          0      0 0                   0 S [id0_trusty_k/0]
root           531     2          0      0 0                   0 S [id0_trusty_k/1]
root           532     2          0      0 0                   0 S [id0_trusty_k/2]
root           533     2          0      0 0                   0 S [id0_trusty_c/0]
root           535     2          0      0 0                   0 S [jbd2/sdc20-8]
root           536     2          0      0 0                   0 I [kworker/R-ext4-rsv-conversion]
root           539     2          0      0 0                   0 I [kworker/R-kdmflush/254:66]
root           543     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_0]
root           544     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_1]
root           545     2          0      0 0                   0 I [kworker/R-tmem_regmgr_defer_off_2]
